date,state Code,state_name,LAT,LONG,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
22-Jan-2020,NY,New York,43,-75,0,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
22-Jan-2020,MP,Northern Mariana Islands,15.19,145.75,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,OK,Oklahoma,36.08,-96.92,0,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Agree
22-Jan-2020,TN,Tennessee,35.86,-86.66,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,AR,Arkansas,34.8,-92.2,0,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
22-Jan-2020,NYC,New York City,40.71,-74.01,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,CO,Colorado,39.11,-105.36,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,PR,Puerto Rico,18.22,66.55,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,TX,Texas,31,-100,0,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
22-Jan-2020,RMI,Republic of Marshall Islands,7.3,168.69,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,PA,Pennsylvania,41.2,-77.19,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Not agree
22-Jan-2020,FL,Florida,27.99,-81.76,0,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
22-Jan-2020,OH,Ohio,40.37,-83,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,GA,Georgia,33.25,-83.44,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,DC,Washington DC,38.91,-77.04,0,,,0,,0,,,0,,3/26/2020 16:22,,
22-Jan-2020,IN,Indiana,40.27,-86.13,0,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Agree
22-Jan-2020,NJ,New Jersey,39.83,-74.87,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,CA,California,36.78,-119.42,0,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
22-Jan-2020,NE,Nebraska,41.5,-100,0,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
22-Jan-2020,SC,South Carolina,33.84,-81.16,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Not agree
22-Jan-2020,VI,Virgin Islands,17.73,-64.76,0,,,0,,0,,,0,,3/26/2020 16:22,,
22-Jan-2020,IL,Illinois,40,-89,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,MT,Montana,46.97,-109.53,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,FSM,Federated States of Micronesia,6.87,158.23,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,OR,Oregon,44,-120.5,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,DE,Delaware,39,-75.5,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,CT,Connecticut,41.6,-72.7,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,WY,Wyoming,43.08,-107.29,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,KY,Kentucky,37.84,-84.27,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,RI,Rhode Island,41.7,-71.5,0,,,0,,0,,,0,,3/26/2020 16:22,Not agree,N/A
22-Jan-2020,NC,North Carolina,35.78,-80.79,0,,,0,,0,,,0,,3/26/2020 16:22,Agree,Agree
22-Jan-2020,MN,Minnesota,46.39,-94.64,0,,,0,,0,,,0,,3/26/2020 16:22,N/A,Agree
22-Jan-2020,LA,Louisiana,30.39,-92.33,0,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Agree
